"","date","temp","rain"
"138",2020-05-17,33.4002929009616,5.85662000791106
"139",2020-05-18,33.1876071285856,0.228580149815416
"140",2020-05-19,33.1862666162184,0.0228580149815416
"141",2020-05-20,32.7715846306901,0.0609547066174443
"142",2020-05-21,32.8683794468636,0
"143",2020-05-22,33.4541226107684,0
"144",2020-05-23,33.3145863971062,0
"145",2020-05-24,32.984043272951,0
"146",2020-05-25,33.513047865421,0
"147",2020-05-26,33.0718449996176,0
"148",2020-05-27,26.0613832772874,79.8776435983878
"149",2020-05-28,29.8168429791861,4.36785186653461
"150",2020-05-29,31.7242975370078,1.14520626259727
"151",2020-05-30,29.4648121699921,13.745814979056
"152",2020-05-31,25.7769148549034,2.38858625468621
"153",2020-06-01,28.9831604420509,20.795564017176
"154",2020-06-02,26.1241361777392,1.48135681929952
"155",2020-06-03,28.2276675013398,1.24502779714397
"156",2020-06-04,30.3733835313028,0
"157",2020-06-05,30.0050698552858,0
"158",2020-06-06,28.854840661163,11.5808630719062
"159",2020-06-07,29.8468294122152,0
"160",2020-06-08,28.9702406970859,1.8121204978745
"161",2020-06-09,29.1724016907437,0.152386766543611
"162",2020-06-10,27.7822776111507,0
"163",2020-06-11,30.0974505169586,0
"164",2020-06-12,31.6207662134072,0
"165",2020-06-13,29.951470696831,0.152386766543611
"166",2020-06-14,27.9799552582244,1.95358715384239
"167",2020-06-15,27.6560496318372,3.1414666559679
"168",2020-06-16,31.0578152936375,0
"169",2020-06-17,32.4519616171106,0
"170",2020-06-18,27.4204400736331,14.2499763744475
"171",2020-06-19,26.4319168753349,11.1674225890862
"172",2020-06-20,28.8334221682077,2.2166402377295
"173",2020-06-21,31.5391110642291,0.0202095222811282
"174",2020-06-22,31.7748854029386,0.25693246273733
"175",2020-06-23,27.2398623534362,17.3909311427143
"176",2020-06-24,28.7817209200247,0.410926953049607
"177",2020-06-25,27.7726620596713,10.6387773752027
"178",2020-06-26,29.838653382762,0
"179",2020-06-27,27.8058536765269,18.2114387280955
"180",2020-06-28,29.8026484927004,0
"181",2020-06-29,29.3973515072996,0
"182",2020-06-30,26.9941795622856,13.2011051262214
"183",2020-07-01,28.2802813979984,0.0609547066174443
"184",2020-07-02,28.8847613233456,1.31275567123788
"185",2020-07-03,28.0443422787834,2.99861152974942
"186",2020-07-04,27.5512435667159,3.57236503069429
"187",2020-07-05,25.0431665469217,6.76588818541636
"188",2020-07-06,28.071222537645,7.62232972787413
"189",2020-07-07,29.1349905174684,0.0336825371352137
"190",2020-07-08,28.326261218126,11.9901815944087
"191",2020-07-09,29.2543829796959,0
"192",2020-07-10,26.9914320599262,73.5500894984332
"193",2020-07-11,24.4350562883149,4.8179462103826
"194",2020-07-12,26.5812299997451,22.9161152592038
"195",2020-07-13,24.7983001090462,1.16883441387217
"196",2020-07-14,26.4763249249648,3.45499871184981
"197",2020-07-15,26.935612979441,0
"198",2020-07-16,24.574035810851,62.4989172441361
"199",2020-07-17,25.9040880147266,36.7919702313106
"200",2020-07-18,25.0517344869955,3.79852723916131
"201",2020-07-19,26.357980074143,22.2155184867914
"202",2020-07-20,25.4874098160461,0.409319229280941
"203",2020-07-21,26.4019304423058,0.34356187877918
"204",2020-07-22,25.696633456905,1.87589505339319
"205",2020-07-23,27.5234147061076,6.82419439933339
"206",2020-07-24,26.6893070195394,3.71812467583589
"207",2020-07-25,27.0420856967035,5.89978009179259
"208",2020-07-26,26.9170043384546,0
"209",2020-07-27,23.6247226864408,13.7798147537222
"210",2020-07-28,24.56785599455,1.15403457159864
"211",2020-07-29,26.0026484927004,0
"212",2020-07-30,26.8398623534362,12.0037748531219
"213",2020-07-31,27.1587971341966,0.109875920407019
